Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Pratt,No,White,Cis Woman,Bisexual,No,No,No,NJ,07934,,,Suburban,"Above $500,000",No,Biomedical Engineering,Student life / campus culture,Moderately interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly unfavorable,2,Yes,1,Strongly disagree,Dorm,A great deal,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),Yes,6,3,Yes,No,Yes,Yes,Other,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Neither
Trinity,No,White,Cis Woman,Questioning,No,No,No,ID,83702,,,Urban,"$80,000-$125,000",Yes,Chemistry,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Much less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Somewhat favorable,2,Yes,1,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately Likely,Moderately unlikely,Very unlikely,Moderately likely,Yes,No,No,4,ACT,,35,Public (non-charter),No,16,8,No,No,No,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,Yes,No,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,NY,11372,,,Urban,"Below $40,000",Yes,International Comparative Studies,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,3,Yes,2,Somewhat agree,Classes,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,Very unlikely,Neither likely nor unlikely,Yes,Yes — lost their job,No,4,SAT,1510,,Other,No,10,4,No,No,No,No,Jewish,Not very religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,,No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NJ,07042,,,Suburban,"$250,000-$500,000",No,Sociology,Student life / campus culture,Moderately interested,Very interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Strongly agree,Orientation Week,A lot,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,,ACT,,34,Private (non-denominational),Yes,9,7,Yes,No,Yes,No,Atheist,Not very religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex",Yes,Yes,Print and Online
Trinity,No,"White,Asian",Cis Woman,Heterosexual,Yes,No,No,TX,78541,,,Suburban,"$125,000-$250,000",Yes,Chemistry,Academics and interdisciplinary curriculum,Not interested at all,Extremely interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Strongly favorable,Strongly favorable,0,Yes,0,Strongly agree,Dorm,None at all,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately likely,Yes,No,No,4,"SAT,ACT",1420,33,Public (non-charter),No,7,3,No,No,No,No,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,No,,Neither
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NC,28117,,,Suburban,"$250,000-$500,000",No,Neuroscience,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,No opinion,3,Yes,2,Strongly agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1570,36,Public (charter),No,8,4,No,No,Yes,No,Protestant,Religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Neither
Pratt,Yes,White,Cis Woman,Bisexual,No,No,No,MS,38651,,,Suburban,"Above $500,000",No,Mechanical Engineering,Student life / campus culture,Not interested at all,Slightly interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat favorable,1,No,,Strongly agree,Other,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Very likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.75,"SAT,ACT",1400,35,Private (non-denominational),No,3,1,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,Drank alcohol,No,,Neither
Pratt,Yes,"White,Other",Cis Man,Heterosexual,No,No,No,PA,16508,,,Suburban,"$250,000-$500,000",No,Biomedical Engineering,Academics and interdisciplinary curriculum,Very interested,Slightly interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly unfavorable,Somewhat unfavorable,Somewhat favorable,1,No,,Somewhat agree,Other,A great deal,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,ACT,,35,Public (non-charter),No,5,1,Yes,No,Yes,No,Other,Not very religious,Moderate,Yes,Donald Trump,Durham,No,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Print
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,MA,02467,,,Suburban,"Above $500,000",No,Psychology,Student life / campus culture,Slightly interested,Slightly interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly unfavorable,Strongly unfavorable,Strongly unfavorable,1,No,,Neither agree nor disagree,Other,A great deal,Very likely,Very likely,Very unlikely,Very unlikely,Moderately Likely,Very likely,Very unlikely,Very unlikely,Very unlikely,Yes,No,No,4,ACT,,35,Private (non-denominational),No,3,1,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Obtained a fake ID",No,,Neither
Trinity,No,White,Cis Man,Heterosexual,No,No,No,ca,94010,,,Suburban,"Above $500,000",No,Economics,Student life / campus culture,Very interested,Slightly interested,Less likely,Other,On campus,,,Staying on campus,No,,No,Yes,Strongly unfavorable,No opinion,Strongly favorable,1,No,,Strongly agree,Other,A little,Very likely,Very likely,Very unlikely,Very unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Very unlikely,Yes,Yes — furloughed,No,3.85,ACT,,34,Private (non-denominational),Yes,11,1,Yes,No,Yes,Yes,Catholic,Not at all religious,Somewhat conservative,Yes,Donald Trump,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Neither
Pratt,No,White,Cis Man,Heterosexual,No,No,No,MD,21042,,,Suburban,"$80,000-$125,000",Yes,Mechanical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat agree,Other,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,SAT,1550,,Public (non-charter),No,8,6,No,Yes,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Print
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,TX,77479,,,Suburban,"$250,000-$500,000",No,Psychology,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,2,Yes,1,Strongly agree,Dorm,A little,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,3.98,ACT,,35,Public (non-charter),Yes,10,6,No,No,Yes,No,Catholic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,,Prefer not to say,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,FL,33469,,,Suburban,"$125,000-$250,000",No,Theater Studies,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Much less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Orientation Week,A lot,Very likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Moderately Likely,Neither likely nor unlikely,Yes,Yes — lost their job,No,3.89,ACT,,34,Private (non-denominational),No,3,1,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,Drank alcohol,Prefer not to say,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NJ,08402,,,Suburban,"$125,000-$250,000",Yes,Economics,Student life / campus culture,Slightly interested,Slightly interested,Much less likely,Cultural connection,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Strongly favorable,1,No,,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,No,No,No,3.8,"SAT,ACT",1560,33,Public (non-charter),No,1,1,Yes,No,Yes,No,Catholic,Religious,Moderate,Yes,Donald Trump,Durham,No,"Drank alcohol,Used drugs,Had sex",No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,MD,20850,,,Suburban,"$125,000-$250,000",Yes,Biology,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Unsure,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,Yes,1,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1550,,Public (non-charter),No,17,7,No,Yes,No,No,Protestant,Religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,No,,Online
Trinity,No,White,Cis Woman,Questioning,No,No,Yes,,,Tel Aviv,Israel,Urban,"$125,000-$250,000",No,Undecided,"Duke’s ""brand name""",Not interested at all,Extremely interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Unsure,No,,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat disagree,Classes,A moderate amount,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,3.7,SAT,1570,,Private (non-denominational),No,2,2,Yes,No,Yes,No,Jewish,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,Prefer not to say,Neither
Trinity,No,Black or African American,Cis Woman,Heterosexual,No,No,No,NC,27708,,,Urban,"$80,000-$125,000",Yes,,Academics and interdisciplinary curriculum,Not interested at all,Very interested,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,Yes,0,Somewhat disagree,Classes,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately unlikely,Moderately Likely,Moderately unlikely,Yes,No,No,3.9,"SAT,ACT",1420,33,Public (non-charter),No,22,15,No,No,No,No,Other,Religious,Very liberal,Yes,Joe Biden,Durham,Yes,,No,,Online
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,North Carolina (NC),27409,,,Urban,"$125,000-$250,000",Yes,Biology,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,0,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.97,"SAT,ACT",1470,35,Public (non-charter),No,15,5,No,No,No,No,Hindu,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),No,Drank alcohol,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,WI,53022,,,Suburban,"$250,000-$500,000",No,Chemistry,Pre-professional opportunities and alumni network,Slightly interested,Moderately interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Somewhat unfavorable,Strongly favorable,1,Yes,1,Strongly agree,Dorm,A little,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,Yes,4,ACT,,35,Public (non-charter),No,8,7,No,No,No,No,Catholic,Religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Neither
Pratt,No,Black or African American,Cis Man,Heterosexual,No,No,No,NC,28079,,,Suburban,"$40,000-$80,000",Yes,Civil Engineering,Study abroad / away opportunities,Moderately interested,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat unfavorable,Somewhat favorable,2,No,,Somewhat agree,Other,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.98,SAT,,,Public (non-charter),No,7,5,No,No,No,Yes,Other,Religious,Somewhat liberal,Yes,,,,,,,Print
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,OH,43054,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat disagree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately likely,Yes,Yes — furloughed,No,4,ACT,,35,Public (non-charter),No,15,5,No,No,No,No,Hindu,Religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Print
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,Yes,,,Hyderabad,India,Urban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,At Home,Safety concerns,Yes - to campus,,Yes,Strongly unfavorable,,,Somewhat favorable,Strongly favorable,Somewhat favorable,0,No,,Neither agree nor disagree,Other,A great deal,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately unlikely,Very unlikely,Moderately unlikely,Very likely,Yes,No,No,4,"SAT,ACT",1530,36,Private (non-denominational),No,5,5,Yes,No,Yes,No,Hindu,Religious,Moderate,Ineligible to vote,,,Ineligible to vote,,No,,Neither
Trinity,No,"White,Black or African American",Cis Woman,Heterosexual,Yes,No,No,NC,28574,,,Rural,"$40,000-$80,000",Yes,Biology,Pre-professional opportunities and alumni network,Slightly interested,Moderately interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,Yes,Strongly favorable,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,1,No,,Somewhat agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately unlikely,Neither likely or unlikely,Moderately likely,Yes,No,No,4,"SAT,ACT",1390,32,Public (non-charter),No,12,9,No,No,No,No,Other,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Durham,No,"Drank alcohol,Had sex",No,,Neither
Trinity,No,Asian,Cis Man,Heterosexual,No,No,Yes,,,New Delhi,India,Urban,"$40,000-$80,000",Yes,Economics,Financial aid award / scholarship,Not interested at all,Very interested,More likely,Wanting to belong in a social group,At Home,Difficulty travelling,Yes - to campus,,Yes,Strongly favorable,,,Somewhat favorable,Somewhat favorable,No opinion,0,No,,Strongly disagree,,A great deal,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,Yes — lost their job,No,4,SAT,1510,,Private (non-denominational),Yes,20,,Yes,No,Yes,No,Hindu,Somewhat religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,,No,,Online
Pratt,No,White,Cis Man,Heterosexual,No,No,No,VA,23454,,,Suburban,"$125,000-$250,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,3,Yes,2,Somewhat agree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1520,36,Public (non-charter),No,4,2,Yes,No,Yes,No,Protestant,Not very religious,Moderate,Yes,Joe Biden,Durham,No,Drank alcohol,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,Yes,No,No,MD,20876,,,Suburban,"Below $40,000",Yes,Political Science,Student life / campus culture,Not interested at all,Very interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,2,No,,Somewhat agree,Other,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Yes,Prefer not to say,No,3.93,ACT,,36,Public (non-charter),No,11,5,No,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Had sex",No,,Online
Trinity,No,"White,Black or African American",Cis Woman,Questioning,No,No,No,TN,37909,,,Suburban,"Below $40,000",Yes,Computer Science,Pre-professional opportunities and alumni network,Slightly interested,Moderately interested,Neither more or less likely,Meeting new people,At Home,Other,Yes - to campus,,No,,,,Somewhat favorable,Somewhat favorable,No opinion,0,No,,Somewhat disagree,Other,A lot,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Moderately Likely,Neither likely or unlikely,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,3.91,ACT,,34,Public (non-charter),No,13,8,No,No,Yes,No,Other,Not very religious,Moderate,Yes,Donald Trump,Home (Not Durham),Yes,Drank alcohol,No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,NJ,07627,,,Suburban,"$125,000-$250,000",No,Public Policy Studies,Pre-professional opportunities and alumni network,Not interested at all,Slightly interested,More likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Somewhat unfavorable,Strongly favorable,1,No,,Strongly agree,Orientation Week,A moderate amount,Very likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1550,,Private (non-denominational),Yes,13,7,No,No,No,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,No,,Online
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,NY,11797,,,Suburban,"$250,000-$500,000",No,Biology,Student life / campus culture,Very interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat unfavorable,Strongly unfavorable,Somewhat unfavorable,1,No,,Somewhat agree,Orientation Week,A great deal,Very likely,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very unlikely,Yes,Yes — furloughed,Yes,4,ACT,,35,Public (non-charter),Yes,15,11,Yes,No,Yes,No,Catholic,Not very religious,Somewhat liberal,Yes,Joe Biden,Durham,Ineligible to vote,Drank alcohol,Yes,No,Online
